"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Lucas Zelarayán","CLB","2020","AM","1129","23","10","6","2.23","1.82","3.77","25","2","2.44","-0.44","4.67","3.73","1.19"
"","Diego Rubio","COL","2020","ST","1137","24","7","3","2.98","-0.46","0.02","13","2","1.68","0.32","4.66","2.17","2.01"
"","Ryan Hollingshead","FCD","2020","FB","1907","31","11","4","2.82","0.34","1.18","18","0","1.81","-1.81","4.62","3.66","2.05"
"","Brian White","NYRB","2020","ST","954","26","11","5","4.10","-0.32","0.90","9","1","0.49","0.51","4.59","4.63","3.50"
"","Jozy Altidore","TOR","2020","ST","804","28","14","2","3.91","1.06","-1.91","10","0","0.63","-0.63","4.54","1.91","3.19"
"","Ali Adnan","VAN","2020","FB","1953","14","5","2","0.61","0.31","1.39","16","4","3.91","0.09","4.52","1.43","0.36"
"","Kelvin Leerdam","SEA","2020","FB","1586","17","3","3","2.26","-1.71","0.74","17","1","2.25","-1.25","4.50","1.00","1.18"
"","Alejandro Romero Gamarra","NYRB","2020","AM","1161","16","5","2","1.29","0.86","0.71","29","3","3.16","-0.16","4.45","0.49","0.69"
"","Justin Meram","RSL","2020","W","1242","16","8","3","2.06","0.31","0.94","14","3","2.32","0.68","4.38","1.28","1.27"
"","José Cifuentes","LAFC","2020","CM","1239","34","10","1","1.60","0.44","-0.60","24","2","2.74","-0.74","4.34","0.10","0.72"
"","Mark-Anthony Kaye","LAFC","2020","CM","1173","13","4","3","2.28","0.24","0.72","22","4","2.05","1.95","4.34","2.13","1.07"
"","Yamil Asad","DCU","2020","W","1753","19","7","3","2.73","0.37","0.27","16","2","1.58","0.42","4.31","2.84","2.43"
"","Alberth Elis","HOU","2020","W","413","17","8","4","3.54","-0.29","0.47","7","2","0.74","1.26","4.27","2.15","2.07"
"","Jared Stroud","NYRB","2020","W","1033","8","0","0","0.39","-0.39","-0.39","25","2","3.88","-1.88","4.27","0.00","0.22"
"","Andre Shinyashiki","COL","2020","W","1094","33","18","4","3.18","1.66","0.82","14","0","1.09","-1.09","4.27","1.74","1.89"
"","Lee Nguyen","MIA, NER","2020","AM","917","11","6","1","1.85","-0.20","-0.85","31","1","2.41","-1.41","4.26","0.24","1.46"
"","Niko Hansen","HOU","2020","W","799","18","7","2","2.93","-0.38","-0.93","7","1","1.29","-0.29","4.22","1.91","2.38"
"","Ronald Matarrita","NYC","2020","FB","1809","16","3","0","0.76","-0.52","-0.76","34","2","3.41","-1.41","4.18","0.00","0.54"
"","Eduard Atuesta","LAFC","2020","DM","1472","32","4","1","2.38","-1.30","-1.38","18","2","1.77","0.23","4.15","0.26","1.01"
"","Diego Fagundez","NER","2020","DM","1076","21","5","1","2.93","-0.90","-1.93","17","0","1.21","-1.21","4.14","0.09","1.70"
"","Brandon Vázquez","CIN","2020","ST","881","23","9","2","3.37","-1.05","-1.37","5","2","0.76","1.24","4.13","1.29","2.13"
"","Samuel Piette","MTL","2020","CM","2116","19","6","1","1.81","-0.23","-0.81","22","1","2.28","-1.28","4.09","0.44","1.11"
"","Benji Michel","ORL","2020","W","974","16","10","5","2.64","1.63","2.36","11","2","1.42","0.58","4.06","3.33","1.76"
"","Florian Valot","NYRB","2020","W","1637","24","6","2","2.11","-0.02","-0.11","20","2","1.93","0.07","4.04","0.99","1.30"
"","Gianluca Busio","SKC","2020","DM","1408","36","6","1","2.33","-1.89","-1.33","16","3","1.70","1.30","4.03","1.06","1.64"
"","Ezequiel Barco","ATL","2020","W","1145","31","14","2","3.25","0.96","-1.25","16","2","0.75","1.25","4.00","1.22","1.93"
"","Carlos Vela","LAFC","2020","W","479","22","10","4","2.47","0.45","1.53","13","1","1.51","-0.51","3.98","2.01","1.43"
"","Mauricio Pereyra","ORL","2020","AM","1174","9","4","2","0.58","0.98","1.42","32","5","3.36","1.64","3.94","2.19","0.44"
"","Ignacio Aliseda","CHI","2020","W","1532","26","6","1","2.62","-0.71","-1.62","14","1","1.29","-0.29","3.91","0.07","1.47"
"","Juan Agudelo","MIA","2020","ST","940","19","4","3","3.02","-0.89","-0.02","4","0","0.87","-0.87","3.89","2.23","2.15"
"","Maximiliano Moralez","NYC","2020","AM","956","13","7","1","1.62","1.04","-0.62","28","4","2.25","1.75","3.87","0.26","0.57"
"","Sebastián Blanco","POR","2020","W","722","22","7","2","1.49","0.06","0.51","12","4","2.37","1.63","3.85","1.46","0.76"
"","Younes Namli","COL","2020","W","1350","23","10","2","1.01","0.77","0.99","22","3","2.81","0.19","3.82","1.86","0.80"
"","Chicharito","LAG","2020","ST","725","20","6","2","3.50","-1.10","-1.50","3","0","0.29","-0.29","3.80","1.42","2.44"
"","Fafa Picault","FCD","2020","W","1127","22","8","3","1.91","0.34","1.09","14","1","1.83","-0.83","3.74","0.92","1.25"
"","Ricardo Pepi","FCD","2020","ST","557","14","6","2","3.17","-0.43","-1.17","4","1","0.57","0.43","3.74","1.41","1.50"
"","Andrés Ricaurte","FCD","2020","AM","1187","17","6","1","0.98","0.80","0.02","30","1","2.71","-1.71","3.69","0.66","0.28"
"","Kyle Duncan","NYRB","2020","FB","2084","13","4","3","0.95","0.47","2.04","14","2","2.72","-0.72","3.67","2.17","0.73"
"","Ruan","ORL","2020","FB","1781","7","2","0","1.13","-0.76","-1.13","17","3","2.47","0.53","3.60","0.00","0.36"
"","Jonathan Lewis","COL","2020","W","801","27","10","5","3.08","-0.22","1.92","7","0","0.52","-0.52","3.60","3.56","1.46"
"","Jan Gregus","MIN","2020","DM","1745","35","8","1","1.45","-0.77","-0.45","26","5","2.14","2.86","3.59","0.59","1.02"
"","Gary Mackay-Steven","NYC","2020","W","1075","22","15","2","2.57","0.42","-0.57","9","1","1.00","0.00","3.57","1.38","1.96"
"","Tesho Akindele","ORL","2020","ST","922","12","6","3","2.49","0.48","0.51","11","0","1.07","-1.07","3.57","1.04","1.39"
"","Cole Bassett","COL","2020","AM","1062","22","9","5","2.49","1.19","2.51","11","5","1.08","3.92","3.56","2.64","1.64"
"","Ethan Zubak","LAG","2020","ST","853","19","7","2","2.94","0.18","-0.94","6","0","0.54","-0.54","3.49","1.02","1.85"
"","Ismael Tajouri-Shradi","NYC","2020","W","776","21","8","3","2.78","-0.56","0.22","12","1","0.70","0.30","3.49","2.16","1.68"
"","Lassi Lappalainen","MTL","2020","FB","748","13","11","4","2.42","1.39","1.58","7","0","1.06","-1.06","3.48","1.58","1.24"
"","Shea Salinas","SJE","2020","W","900","10","3","2","1.99","-0.68","0.01","13","2","1.48","0.52","3.47","2.25","1.02"
"","Ilsinho","PHI","2020","ST","760","10","4","3","1.34","0.19","1.66","11","3","2.08","0.92","3.43","2.32","0.46"
"","Douglas Martínez","RSL","2020","ST","917","20","8","2","2.61","-0.91","-0.61","8","0","0.79","-0.79","3.40","0.87","1.52"
"","Dominique Badji","NSH","2020","ST","788","18","5","1","2.81","-1.23","-1.81","7","1","0.58","0.42","3.38","0.52","1.78"
"","Valeri Qazaishvili","SJE","2020","W","866","28","14","3","3.02","1.07","-0.02","8","1","0.34","0.66","3.36","1.88","1.86"
"","Kellyn Acosta","COL","2020","DM","1246","27","11","2","2.71","-0.21","-0.71","8","1","0.61","0.39","3.32","1.66","1.80"
"","Jonathan Osorio","TOR","2020","DM","1533","18","6","1","2.30","-1.14","-1.30","15","2","1.01","0.99","3.31","0.64","1.44"
"","Eryk Williamson","POR","2020","DM","1543","16","5","3","1.94","0.34","1.06","12","4","1.36","2.64","3.30","1.30","1.00"
"","Luis Amarilla","MIN","2020","ST","455","16","5","2","3.02","-0.83","-1.02","3","1","0.24","0.76","3.26","1.62","1.62"
"","Gastón Giménez","CHI","2020","DM","1718","21","7","0","1.38","-0.47","-1.38","19","3","1.88","1.12","3.26","0.00","1.23"
"","Adam Jahn","ATL","2020","ST","1174","15","8","3","2.72","1.09","0.28","7","1","0.52","0.48","3.24","2.42","2.71"
"","Efrain Álvarez","LAG","2020","W","755","16","4","1","1.70","-0.30","-0.70","17","1","1.48","-0.48","3.18","0.60","1.01"
"","Alexandru Mitrita","NYC","2020","W","775","23","9","4","1.85","1.28","2.15","16","2","1.27","0.73","3.12","2.10","1.10"
"","Jon Gallagher","ATL","2020","W","1055","13","7","4","1.72","0.91","2.28","12","0","1.40","-1.40","3.12","2.37","1.08"
"","Edison Flores","DCU","2020","W","962","15","4","0","0.83","-0.21","-0.83","19","3","2.28","0.72","3.11","0.00","0.60"
"","Nick DeLeon","TOR","2020","W","1038","21","4","1","1.51","0.07","-0.51","10","2","1.59","0.41","3.10","0.02","0.82"
"","Alex Muyl","NYRB, NSH","2020","W","1236","17","5","0","1.94","-0.83","-1.94","10","2","1.16","0.84","3.10","0.00","1.09"
"","Danny Musovski","LAFC","2020","ST","724","20","15","5","2.79","1.60","2.21","4","0","0.28","-0.28","3.07","1.43","0.94"
"","Youness Mokhtar","CLB","2020","W","907","21","8","3","2.26","0.54","0.74","8","1","0.79","0.21","3.06","1.37","1.20"
"","Pity Martínez","ATL","2020","AM","653","17","7","2","1.00","0.66","1.00","14","1","2.05","-1.05","3.04","0.84","0.55"
"","Walker Zimmerman","NSH","2020","CB","2110","19","9","3","1.95","0.55","1.05","7","0","1.08","-1.08","3.02","2.34","1.48"
"","Bryan Reynolds","FCD","2020","FB","1399","4","1","0","0.17","-0.13","-0.17","15","3","2.83","0.17","3.00","0.00","0.08"
"","David Milinkovic","VAN","2020","W","974","8","3","1","1.26","-0.14","-0.26","11","4","1.74","2.26","3.00","0.91","0.90"
"","Abu Danladi","NSH","2020","ST","644","17","4","2","2.20","-0.35","-0.20","7","1","0.78","0.22","2.98","0.64","1.05"
"","Erick Torres","ATL","2020","ST","569","15","6","1","2.94","-0.87","-1.94","0","0","0.00","0.00","2.94","0.00","1.42"
"","Tommy McNamara","HOU, NER","2020","DM","1133","18","3","0","1.45","-0.43","-1.45","10","1","1.49","-0.49","2.94","0.00","1.39"
"","Reto Ziegler","FCD","2020","CB","1675","6","4","2","1.69","0.27","0.31","15","1","1.25","-0.25","2.94","0.87","0.76"
"","Anthony Fontana","PHI","2020","AM","599","16","13","6","2.55","2.90","3.45","4","0","0.34","-0.34","2.89","4.57","1.25"
"","Boris Sekulic","CHI","2020","FB","1975","14","4","2","1.56","-0.04","0.44","16","1","1.32","-0.32","2.88","1.11","1.07"
"","Nick Lima","SJE","2020","FB","1649","16","6","2","0.75","0.26","1.25","13","2","2.13","-0.13","2.87","0.83","0.41"
"","Elliot Collier","CHI","2020","W","655","20","7","0","2.06","-0.74","-2.06","3","0","0.78","-0.78","2.84","0.00","1.56"
"","Cristian Penilla","NER","2020","W","1047","19","6","0","1.70","-0.68","-1.70","15","3","1.11","1.89","2.81","0.00","1.21"
"","Donovan Pines","DCU","2020","CB","1501","15","8","3","2.41","1.45","0.59","2","0","0.38","-0.38","2.79","2.25","1.79"
"","Sacha Kljestan","LAG","2020","CM","846","13","4","0","1.39","-0.71","-1.39","13","0","1.39","-1.39","2.78","0.00","0.59"
"","Zachary Brault-Guillard","MTL","2020","FB","1958","10","0","0","0.56","-0.56","-0.56","18","0","2.21","-2.21","2.77","0.00","0.36"
"","Nouhou Tolo","SEA","2020","FB","1448","9","2","0","1.07","-0.93","-1.07","7","1","1.67","-0.67","2.74","0.00","0.28"
"","Mohamed El-Munir","LAFC","2020","FB","694","11","2","1","0.48","0.14","0.52","10","1","2.26","-1.26","2.73","0.03","0.21"
"","Romain Métanire","MIN","2020","FB","1946","6","2","0","0.19","-0.09","-0.19","22","3","2.52","0.48","2.71","0.00","0.03"
"","Richie Laryea","TOR","2020","FB","1498","13","6","4","1.15","0.68","2.85","12","3","1.55","1.45","2.70","1.94","0.61"
"","Siem de Jong","CIN","2020","ST","871","18","5","0","2.21","-1.68","-2.21","7","0","0.45","-0.45","2.66","0.00","1.47"
"","Andrés Perea","ORL","2020","AM","1386","16","3","0","1.45","-1.18","-1.45","9","1","1.21","-0.21","2.66","0.00","0.67"
"","João Paulo","SEA","2020","DM","1521","16","6","2","0.71","1.14","1.29","23","2","1.92","0.08","2.63","0.73","0.40"
"","Yuya Kubo","CIN","2020","W","1412","19","7","3","1.73","0.99","1.27","12","0","0.90","-0.90","2.63","1.65","1.04"
"","Nicolás Figal","MIA","2020","CB","1929","22","9","0","1.46","-0.65","-1.46","7","0","1.16","-1.16","2.62","0.00","1.38"
"","Dax McCarty","NSH","2020","DM","1809","11","4","1","0.48","0.17","0.52","22","2","2.11","-0.11","2.59","0.40","0.34"
"","Omir Fernandez","NYRB","2020","W","652","12","3","2","1.96","-0.23","0.04","6","1","0.59","0.41","2.55","1.47","1.45"
"","Auro","TOR","2020","FB","1628","4","3","0","0.25","0.06","-0.25","14","0","2.29","-2.29","2.54","0.00","0.13"
"","Ben Sweat","MIA","2020","FB","1830","10","5","0","1.17","0.51","-1.17","10","2","1.34","0.66","2.51","0.00","0.96"
"","Jaroslaw Niezgoda","POR","2020","ST","692","12","9","7","2.14","2.01","4.86","4","1","0.37","0.63","2.50","3.26","1.09"
"","Carles Gil","NER","2020","AM","405","7","2","0","1.23","-1.05","-1.23","21","1","1.27","-0.27","2.50","0.00","0.70"
"","Jackson Yueill","SJE","2020","CM","2023","20","8","1","1.34","0.76","-0.34","18","1","1.16","-0.16","2.49","1.00","1.05"
"","Christian Ramirez","HOU","2020","ST","757","13","7","2","2.08","-0.51","-0.08","5","1","0.40","0.60","2.47","1.70","1.51"
"","Jürgen Damm","ATL","2020","W","700","8","1","0","0.68","-0.55","-0.68","11","3","1.78","1.22","2.47","0.00","0.43"
"","Jorge Villafaña","POR","2020","FB","1711","3","1","1","0.35","0.17","0.65","10","5","2.11","2.89","2.46","1.67","0.51"
"","Aaron Herrera","RSL","2020","FB","1944","17","2","0","0.87","-0.79","-0.87","15","1","1.59","-0.59","2.46","0.00","0.59"
"","Derrick Etienne","CLB","2020","W","1015","13","2","1","1.08","-0.22","-0.08","13","2","1.37","0.63","2.45","0.61","0.58"
"","Marcelino Moreno","ATL","2020","AM","498","14","7","2","2.06","-0.11","-0.06","7","1","0.37","0.63","2.43","0.76","0.85"
"","C.J. Sapong","CHI","2020","ST","542","8","3","2","2.05","0.12","-0.05","3","0","0.38","-0.38","2.43","0.53","0.77"
"","Will Bruin","SEA","2020","ST","567","12","4","1","2.12","-0.34","-1.12","3","0","0.29","-0.29","2.41","1.00","1.31"
"","Robbie Robinson","MIA","2020","ST","501","11","2","0","1.53","-1.27","-1.53","3","0","0.88","-0.88","2.41","0.00","1.25"
"","Aaron Schoenfeld","MIN","2020","ST","472","14","4","1","1.95","-0.88","-0.95","3","0","0.46","-0.46","2.41","1.01","1.52"
"","Darwin Cerén","HOU","2020","CM","1661","14","6","1","1.34","0.02","-0.34","14","2","1.06","0.94","2.40","0.48","0.85"
"","Francisco Ginella","LAFC","2020","CM","1277","10","5","1","0.51","0.33","0.49","14","3","1.86","1.14","2.37","0.36","0.37"
"","Matías Pellegrini","MIA","2020","W","1060","16","5","1","1.12","0.46","-0.12","13","2","1.24","0.76","2.36","0.80","0.78"
"","Harrison Afful","CLB","2020","FB","1968","11","3","1","0.32","0.16","0.68","16","1","2.04","-1.04","2.36","0.90","0.25"
"","Julian Araujo","LAG","2020","FB","1315","8","3","1","0.79","-0.48","0.21","14","2","1.55","0.45","2.34","0.56","0.34"
"","Daniel Lovitz","NSH","2020","FB","2041","8","1","1","0.42","0.13","0.58","23","2","1.86","0.14","2.28","0.61","0.31"
"","Mauricio Pineda","CHI","2020","CB","2195","9","3","3","1.79","0.08","1.21","3","2","0.48","1.52","2.27","2.78","1.69"
"","Magnus Eriksson","SJE","2020","AM","507","10","1","1","1.12","-0.24","-0.12","15","1","1.15","-0.15","2.26","0.58","0.68"
"","Diego Chara","POR","2020","DM","1971","3","1","1","0.81","0.09","0.19","11","5","1.45","3.55","2.26","0.54","0.44"
"","Jack Price","COL","2020","DM","1438","5","2","0","0.14","-0.09","-0.14","28","4","2.11","1.89","2.25","0.00","0.09"
"","Joe Gyau","CIN","2020","W","1961","21","8","1","1.14","-0.33","-0.14","15","0","1.10","-1.10","2.24","0.37","0.68"
"","Emiliano Insúa","LAG","2020","FB","1942","2","0","0","0.06","-0.06","-0.06","19","2","2.17","-0.17","2.24","0.00","0.05"
"","Maynor Figueroa","HOU","2020","CB","1879","19","3","2","1.80","-0.07","0.20","4","0","0.44","-0.44","2.24","2.74","2.06"
"","Alexander Büttner","NER","2020","FB","1348","14","1","0","0.36","-0.18","-0.36","26","3","1.87","1.13","2.24","0.00","0.22"
"","Nicolás Mezquida","COL","2020","AM","577","18","7","1","1.53","0.43","-0.53","8","1","0.69","0.31","2.23","0.00","0.72"
"","Gelmin Rivas","DCU","2020","ST","557","17","5","2","1.69","0.10","0.31","2","0","0.54","-0.54","2.22","2.18","1.19"
"","Jesús Ferreira","FCD","2020","AM","1065","19","7","1","1.70","-1.24","-0.70","8","1","0.52","0.48","2.22","0.49","1.33"
"","Mason Toye","MIN, MTL","2020","ST","667","10","4","1","1.35","-0.85","-0.35","8","1","0.86","0.14","2.21","0.56","0.86"
"","Braian Galván","COL","2020","W","285","8","2","1","1.12","-0.38","-0.12","8","1","1.09","-0.09","2.21","0.06","0.17"
"","Victor Wanyama","MTL","2020","DM","2079","22","8","2","1.55","-0.01","0.45","10","1","0.64","0.36","2.19","2.22","1.17"
"","Roger Espinoza","SKC","2020","CM","1054","19","8","2","1.68","0.14","0.32","7","1","0.51","0.49","2.19","1.29","1.11"
"","Maxime Chanot","NYC","2020","CB","1887","19","4","0","1.63","-0.53","-1.63","5","0","0.56","-0.56","2.19","0.00","1.12"
"","Nedum Onuoha","RSL","2020","CB","1415","12","2","0","1.84","-1.09","-1.84","4","0","0.34","-0.34","2.19","0.00","1.36"
"","Eric Remedi","ATL","2020","DM","1280","11","1","1","1.79","-0.85","-0.79","4","1","0.39","0.61","2.18","0.68","1.01"
"","Adam Lundkvist","HOU","2020","FB","1975","6","2","0","0.12","-0.00","-0.12","20","0","2.06","-2.06","2.17","0.00","0.06"
"","Ilie Sánchez","SKC","2020","DM","1390","7","1","0","0.71","-0.69","-0.71","12","1","1.44","-0.44","2.16","0.00","0.40"
"","Tsubasa Endoh","TOR","2020","W","714","11","4","1","1.12","0.55","-0.12","8","0","1.03","-1.03","2.15","0.40","0.53"
"","Derrick Jones","NSH","2020","ST","987","9","3","0","1.19","-0.41","-1.19","6","2","0.96","1.04","2.15","0.00","0.61"
"","Santiago Mosquera","FCD","2020","W","463","17","9","4","1.96","0.68","2.04","4","0","0.18","-0.18","2.13","1.19","1.06"
"","Allan Cruz","CIN","2020","AM","841","8","2","1","1.06","-0.07","-0.06","10","0","1.07","-1.07","2.13","0.41","0.51"
"","Brek Shea","MIA","2020","W","704","13","6","4","1.76","-0.67","2.24","3","0","0.36","-0.36","2.11","3.51","1.61"
"","Handwalla Bwana","NSH, SEA","2020","W","259","5","3","1","1.81","0.45","-0.81","2","0","0.29","-0.29","2.10","1.29","0.94"
"","Marvin Loría","POR","2020","W","786","15","6","0","1.09","-0.26","-1.09","9","0","1.01","-1.01","2.10","0.00","0.45"
"","Blaise Matuidi","MIA","2020","DM","1387","15","2","1","0.97","-0.15","0.03","12","0","1.12","-1.12","2.09","0.81","0.81"
"","Graham Zusi","SKC","2020","FB","1356","21","4","1","0.86","-0.72","0.14","15","1","1.22","-0.22","2.09","1.51","0.81"
"","Artur","CLB","2020","DM","2008","11","6","2","0.92","0.25","1.08","10","2","1.15","0.85","2.07","1.34","0.54"
"","Joe Corona","LAG","2020","DM","974","9","5","1","1.25","0.22","-0.25","10","0","0.82","-0.82","2.07","0.38","0.84"
"","Julián Carranza","MIA","2020","ST","655","12","4","2","1.79","0.71","0.21","4","0","0.27","-0.27","2.06","1.19","1.11"
"","Nicolas Benezet","COL","2020","W","551","9","3","0","0.75","-0.62","-0.75","13","1","1.30","-0.30","2.06","0.00","0.79"
"","Marco Delgado","TOR","2020","CM","1564","11","4","0","0.59","-0.05","-0.59","17","1","1.46","-0.46","2.05","0.00","0.36"
"","Mark McKenzie","PHI","2020","CB","2190","13","4","2","1.76","-0.98","0.24","3","1","0.25","0.75","2.01","2.01","1.24"
"","Victor Ulloa","MIA","2020","DM","1582","10","1","0","0.60","-0.58","-0.60","16","2","1.40","0.60","2.00","0.00","0.45"
"","Kelyn Rowe","NER","2020","DM","980","17","4","0","1.16","-0.85","-1.16","10","0","0.84","-0.84","2.00","0.00","0.75"
"","Erik Hurtado","SKC","2020","ST","450","19","8","5","1.91","0.57","3.09","2","0","0.08","-0.08","1.99","2.77","0.97"
"","Yordy Reyna","VAN, DCU","2020","ST","717","12","3","1","1.39","-0.71","-0.39","7","1","0.60","0.40","1.99","0.97","0.90"
"","Milton Valenzuela","CLB","2020","FB","1578","9","1","0","0.43","-0.29","-0.43","13","3","1.56","1.44","1.99","0.00","0.30"
"","Erik Sorga","DCU","2020","ST","790","16","4","1","1.72","-0.59","-0.72","5","0","0.21","-0.21","1.93","1.00","0.82"
"","Jake Nerwinski","VAN","2020","FB","1868","5","4","2","1.23","0.61","0.77","7","0","0.68","-0.68","1.91","1.77","0.97"
"","Amar Sejdic","MTL","2020","CM","775","12","5","2","1.15","-0.10","0.85","7","0","0.74","-0.74","1.88","0.95","0.65"
"","DeJuan Jones","NER","2020","FB","1242","7","5","0","0.45","0.12","-0.45","16","0","1.43","-1.43","1.88","0.00","0.33"
"","Raheem Edwards","MIN","2020","W","329","5","0","0","0.67","-0.67","-0.67","5","2","1.19","0.81","1.86","0.00","0.61"
"","Joevin Jones","SEA","2020","FB","896","9","4","2","1.54","0.46","0.46","4","2","0.31","1.69","1.86","0.04","0.20"
"","Zdenek Ondrasek","FCD","2020","ST","343","11","3","2","1.78","-0.18","0.22","2","0","0.07","-0.07","1.85","1.14","1.54"
"","Sam Vines","COL","2020","FB","1776","3","1","1","0.57","0.27","0.43","11","3","1.23","1.77","1.80","0.27","0.19"
"","Hassani Dotson","MIN","2020","DM","1339","19","7","1","1.08","-0.41","-0.08","10","1","0.70","0.30","1.78","0.40","1.03"
"","José Aja","MIN","2020","CB","1171","11","3","1","1.22","0.02","-0.22","3","0","0.56","-0.56","1.78","0.40","0.84"
"","Chris Odoi-Atsem","DCU","2020","FB","868","3","2","1","0.92","-0.17","0.08","5","0","0.85","-0.85","1.77","1.06","0.58"
"","Pablo Ruiz","RSL","2020","DM","1413","33","8","1","1.05","-0.70","-0.05","16","1","0.70","0.29","1.75","1.05","0.66"
"","Yeimar Gómez Andrade","SEA","2020","CB","1696","16","5","2","1.54","-0.28","0.46","3","0","0.22","-0.22","1.75","1.37","0.94"
"","Cade Cowell","SJE","2020","W","553","14","7","1","0.98","0.07","0.02","6","1","0.74","0.26","1.72","0.94","0.19"
"","Jacori Hayes","MIN","2020","DM","657","4","1","1","0.71","-0.00","0.29","7","1","1.00","-0.00","1.72","0.05","0.07"
"","Miguel Ángel Navarro","CHI","2020","FB","1096","11","1","0","0.51","-0.44","-0.51","11","0","1.20","-1.20","1.71","0.00","0.28"
"","Yony González","LAG","2020","ST","506","13","6","0","1.40","-0.99","-1.40","4","1","0.30","0.70","1.70","0.00","0.43"
"","Diego Palacios","LAFC","2020","FB","1321","4","0","0","0.13","-0.13","-0.13","13","0","1.56","-1.56","1.69","0.00","0.05"
"","Kekuta Manneh","CIN, NER","2020","W","288","9","5","1","0.80","-0.10","0.20","6","1","0.88","0.12","1.68","0.60","0.51"
"","Alistair Johnston","NSH","2020","FB","1474","4","3","0","0.41","-0.08","-0.41","13","0","1.23","-1.23","1.64","0.00","0.30"
"","Sam Johnson","RSL","2020","ST","383","6","1","1","1.47","-0.60","-0.47","4","0","0.16","-0.16","1.63","1.85","1.62"
"","Eddie Segura","LAFC","2020","CB","2068","17","5","2","1.49","0.27","0.51","3","0","0.13","-0.13","1.62","1.41","0.90"
"","Leandro González Pirez","MIA","2020","CB","1580","11","4","2","1.42","-0.49","0.58","3","1","0.14","0.85","1.57","2.11","1.33"
"","Cory Burke","PHI","2020","ST","141","9","5","2","1.56","1.28","0.44","0","0","0.00","0.00","1.56","1.04","0.54"
"","Jake Mulraney","ATL","2020","W","800","9","5","1","0.94","-0.07","0.06","7","1","0.61","0.39","1.55","1.32","0.86"
"","Francisco Calvo","CHI","2020","CB","2085","16","3","1","0.96","-0.19","0.04","5","0","0.58","-0.58","1.54","1.12","0.66"
"","Tommy Thompson","SJE","2020","FB","1211","10","4","1","0.97","-0.75","0.03","8","2","0.57","1.43","1.54","0.09","0.49"
"","Michael Boxall","MIN","2020","CB","1868","8","3","0","1.39","-0.73","-1.39","1","0","0.15","-0.15","1.53","0.00","1.10"
"","Emerson Hyndman","ATL","2020","CM","1515","14","6","2","0.48","0.79","1.52","11","1","1.05","-0.05","1.53","1.13","0.31"
"","Jeff Larentowicz","ATL","2020","DM","1250","7","2","2","1.15","0.49","0.85","5","0","0.38","-0.38","1.53","1.40","0.80"
"","Sebastián Méndez","ORL","2020","CM","1215","17","3","0","1.32","-0.41","-1.32","3","0","0.19","-0.19","1.51","0.00","0.84"
"","Cristhian Paredes","POR","2020","CM","911","10","4","0","1.15","-0.86","-1.15","7","0","0.36","-0.36","1.51","0.00","0.61"
"","Frankie Amaya","CIN","2020","CM","1881","21","6","1","1.05","0.71","-0.05","10","0","0.46","-0.46","1.51","0.88","0.67"
"","Bryan Acosta","FCD","2020","DM","801","17","8","0","0.75","0.08","-0.75","14","1","0.75","0.25","1.50","0.00","0.58"
"","Olivier Mbaizo","PHI","2020","FB","1156","3","2","0","0.16","0.58","-0.16","11","1","1.33","-0.33","1.49","0.00","0.09"
"","Mandela Egbo","NYRB","2020","FB","486","5","3","1","0.88","0.05","0.12","3","1","0.60","0.40","1.48","0.60","0.54"
"","Luis Martins","SKC","2020","FB","861","6","3","0","0.13","-0.04","-0.13","12","1","1.34","-0.34","1.46","0.00","0.10"
"","Kyle Smith","ORL","2020","FB","1161","8","5","0","0.50","0.04","-0.50","10","1","0.96","0.04","1.46","0.00","0.27"
"","Ben Mines","NYRB","2020","W","207","3","1","1","0.73","-0.38","0.27","4","1","0.72","0.28","1.45","0.21","0.23"
"","Nick DePuy","LAG","2020","CB","1436","9","3","0","0.85","-0.15","-0.85","3","1","0.60","0.40","1.45","0.00","0.61"
