"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Jonathan Lewis","COL","2020","W","796","0.77","-0.01","-0.12","-0.14","-0.36","0.01","0.15"
"","Christian Torres","LAFC","2020","W","253","0.04","-0.03","-0.02","0.28","-0.11","-0.01","0.15"
"","Paul Marie","SJE","2020","FB","408","0.05","0.27","-0.11","-0.27","0.08","0.12","0.15"
"","Keegan Rosenberry","COL","2020","FB","1493","0.09","0.04","0.44","-0.12","-0.23","-0.07","0.15"
"","Matt Polster","NER","2020","DM","841","-0.14","0.21","-0.17","0.37","-0.04","-0.08","0.15"
"","Carlos Fierro","SJE","2020","W","1050","-0.44","-0.01","-0.34","-0.04","0.56","0.40","0.14"
"","Ariel Lassiter","HOU","2020","W","1027","-0.19","-0.04","-0.32","-0.53","0.91","0.31","0.14"
"","Nick Hagglund","CIN","2020","CB","822","0.03","0.05","-0.46","0.31","0.31","-0.10","0.13"
"","Federico Higuaín","DCU, MIA","2020","AM","267","0.06","-0.04","-0.03","-0.06","0.10","0.10","0.12"
"","Bryan Reynolds","FCD","2020","FB","1399","0.05","-0.05","-0.12","0.26","0.02","-0.04","0.12"
"","Michael Mancienne","NER","2020","CB","349","-0.14","0.07","0.30","-0.02","-0.06","-0.03","0.12"
"","James Sands","NYC","2020","DM","1539","0.11","0.06","0.09","-0.05","-0.19","0.09","0.12"
"","Cade Cowell","SJE","2020","W","553","0.23","-0.03","0.33","-0.03","-0.20","-0.19","0.11"
"","Erick Torres","ATL","2020","ST","569","-0.54","-0.04","-0.12","-0.11","0.59","0.33","0.11"
"","Jonathan Bornstein","CHI","2020","FB","1258","-0.18","0.09","0.56","-0.32","-0.06","0.01","0.11"
"","Héctor Jiménez","CLB","2020","FB","431","0.05","-0.22","0.19","0.17","-0.07","-0.02","0.11"
"","Jacob Akanyirige","SJE","2020","CB","73","0.06","0.01","0.04","0.01","-0.02","-0.00","0.10"
"","Alex Roldan","SEA","2020","FB","658","-0.04","-0.01","0.31","0.02","-0.15","-0.02","0.10"
"","Gianluca Busio","SKC","2020","DM","1408","0.06","0.06","-0.04","-0.35","0.02","0.35","0.10"
"","Micheal Azira","CHI","2020","DM","163","-0.02","0.01","0.15","0.00","-0.05","-0.00","0.10"
"","Anthony Jackson-Hamel","MTL","2020","ST","240","-0.11","-0.05","0.06","0.05","0.13","0.01","0.10"
"","Juan Agudelo","MIA","2020","ST","940","-0.26","-0.11","0.04","0.13","0.46","-0.15","0.10"
"","Jimmy Medranda","SEA, NSH","2020","FB","35","-0.09","-0.00","0.18","-0.00","-0.00","0.02","0.10"
"","Mustafa Kizza","MTL","2020","W","28","0.00","-0.00","0.12","0.01","-0.03","-0.01","0.10"
"","Eric Calvillo","SJE","2020","CM","209","-0.04","-0.01","0.07","-0.22","0.22","0.06","0.09"
"","Braian Galván","COL","2020","W","280","0.01","-0.05","-0.08","-0.05","0.14","0.12","0.09"
"","Franko Kovacevic","CIN","2020","ST","97","0.03","0.10","0.03","0.03","-0.08","-0.03","0.09"
"","Luis Martins","SKC","2020","FB","861","0.10","0.01","-0.04","0.14","-0.09","-0.03","0.09"
"","Alejandro Pozuelo","TOR","2020","ST","2162","0.63","-0.17","0.02","0.49","-1.00","0.11","0.08"
"","Douglas Martínez","RSL","2020","ST","902","-0.47","0.23","0.18","-0.30","0.33","0.12","0.08"
"","Zico Bailey","CIN","2020","FB","321","0.01","0.00","0.19","-0.05","-0.05","-0.01","0.08"
"","Zdenek Ondrasek","FCD","2020","ST","343","-0.11","-0.01","-0.00","-0.16","0.01","0.36","0.08"
"","Brad Smith","SEA","2020","FB","150","-0.02","0.01","0.15","-0.11","0.07","-0.02","0.08"
"","Karifa Yao","MTL","2020","CB","138","0.01","0.00","0.06","-0.05","0.12","-0.06","0.08"
"","Dave Romney","NSH","2020","CB","2235","-0.50","0.14","0.40","0.16","-0.12","-0.01","0.08"
"","Yeimar Gómez Andrade","SEA","2020","CB","1696","0.04","0.04","-0.38","-0.13","0.51","-0.01","0.07"
"","Amadou Dia","SKC","2020","FB","929","0.06","0.02","0.15","-0.16","0.02","-0.02","0.07"
"","Boris Sekulic","CHI","2020","FB","1975","-0.12","0.07","-0.07","-0.13","0.54","-0.22","0.06"
"","Jack Maher","NSH","2020","CB","134","-0.01","0.01","0.15","-0.06","-0.03","-0.00","0.06"
"","Fanendo Adi","CLB","2020","ST","241","-0.17","0.00","-0.01","-0.01","0.27","-0.02","0.06"
"","Auro","TOR","2020","FB","1628","-0.09","0.05","-0.08","0.07","0.10","0.02","0.06"
"","Bill Tuiloma","POR","2020","CB","915","0.22","0.06","-0.30","-0.12","0.19","-0.00","0.05"
"","Lassi Lappalainen","MTL","2020","FB","748","0.41","-0.04","-0.22","-0.25","0.10","0.05","0.05"
"","Artur","CLB","2020","DM","2008","-0.03","0.22","0.65","-0.43","-0.21","-0.16","0.05"
"","Kendall Waston","CIN","2020","CB","1677","0.03","-0.09","0.16","-0.17","0.17","-0.06","0.04"
"","Aníbal Godoy","NSH","2020","DM","1606","0.10","0.09","0.16","-0.02","-0.22","-0.07","0.03"
"","Edgar Castillo","ATL","2020","FB","174","0.18","0.01","-0.14","-0.06","-0.01","0.06","0.03"
"","Liam Fraser","TOR","2020","CM","504","0.01","-0.05","0.31","0.07","-0.23","-0.07","0.03"
"","Nani","ORL","2020","W","1594","0.25","-0.01","-0.16","0.37","-0.66","0.25","0.03"
"","Michael Baldisimo","VAN","2020","CM","789","-0.35","0.03","0.83","-0.31","-0.10","-0.06","0.03"
"","Miguel Ibarra","SEA","2020","W","304","-0.09","-0.02","-0.03","-0.17","0.25","0.09","0.03"
"","Krisztián Németh","CLB","2020","ST","214","-0.21","-0.03","0.08","-0.09","0.21","0.07","0.03"
"","Dejan Jakovic","LAFC","2020","CB","1192","-0.15","-0.41","0.39","0.24","-0.09","0.03","0.02"
"","Ike Opara","MIN","2020","CB","196","0.00","-0.00","-0.03","-0.06","0.07","0.03","0.02"
"","Noble Okello","TOR","2020","CM","29","0.00","-0.00","0.01","0.02","-0.01","-0.00","0.02"
"","Boniek García","HOU","2020","CM","926","-0.00","-0.02","0.12","-0.08","0.02","-0.01","0.02"
"","Tommy McCabe","CIN","2020","AM","18","0.02","-0.00","-0.01","0.02","-0.02","-0.00","0.01"
"","Danilo Silva","LAFC","2020","CB","39","-0.00","0.01","0.01","0.01","-0.01","-0.00","0.01"
"","Alexander Alvarado","ORL","2020","ST","36","-0.00","0.07","0.00","-0.00","-0.05","-0.01","0.01"
"","Juan Pablo Torres","NYC","2020","W","5","0.00","-0.00","0.00","-0.00","0.00","-0.00","0.00"
"","Alejandro Fuenmayor","HOU","2020","CB","341","-0.16","0.04","0.16","-0.03","-0.04","0.03","0.00"
"","Jimmy McLaughlin","CIN","2020","CB","6","0.01","0.00","-0.00","-0.00","0.00","0.00","0.00"
"","Cristián Gutiérrez","VAN","2020","FB","743","-0.18","0.08","-0.01","0.24","-0.10","-0.02","0.00"
"","Andre Reynolds","CHI","2020","FB","21","-0.01","0.00","0.02","-0.00","-0.00","-0.00","0.00"
"","Janio Bikel","VAN","2020","CM","1027","-0.20","-0.01","0.82","-0.23","-0.33","-0.07","-0.01"
"","Santiago Patiño","ORL","2020","ST","11","0.01","-0.00","0.01","0.00","-0.02","-0.01","-0.01"
"","Ronaldo Peña","HOU","2020","ST","46","-0.04","0.01","0.01","0.01","0.06","-0.05","-0.01"
"","Olivier Mbaizo","PHI","2020","FB","1156","0.05","0.00","-0.07","0.13","-0.16","0.05","-0.01"
"","Ben Mines","NYRB","2020","W","207","-0.04","0.01","-0.00","0.06","0.10","-0.15","-0.01"
"","Christopher Garcia","RSL","2020","W","3","-0.00","-0.00","-0.00","-0.00","-0.00","-0.00","-0.01"
"","Adama Diomande","LAFC","2020","ST","17","0.04","-0.00","-0.01","-0.06","0.01","0.01","-0.01"
"","Júnior Urso","ORL","2020","CM","1888","-0.27","-0.07","-0.65","-0.45","0.68","0.76","-0.01"
"","Mohammed Abu","DCU","2020","CM","363","0.05","-0.04","0.20","-0.10","-0.10","-0.02","-0.01"
"","Cameron Dunbar","LAG","2020","AM","102","0.15","-0.01","-0.09","-0.06","-0.07","0.07","-0.01"
"","Sean Nealis","NYRB","2020","CB","492","-0.18","0.01","0.30","0.03","-0.12","-0.06","-0.01"
"","Brandon Bye","NER","2020","FB","1791","-0.36","0.09","-0.45","0.34","0.43","-0.07","-0.02"
"","Jahkeele Marshall-Rutty","TOR","2020","W","20","-0.01","-0.00","0.00","-0.00","0.01","-0.01","-0.02"
"","Saad Abdul-Salaam","CIN","2020","FB","480","0.01","0.10","0.14","-0.19","-0.04","-0.03","-0.02"
"","Víctor Cabrera","HOU","2020","CB","723","0.17","0.06","-0.34","0.02","0.02","0.05","-0.02"
"","Eriq Zavaleta","TOR","2020","CB","320","-0.12","0.03","0.16","-0.00","-0.09","-0.00","-0.02"
"","Chris Cadden","CLB","2020","FB","409","0.02","-0.05","-0.00","0.06","-0.04","-0.01","-0.02"
"","Julio Cascante","POR","2020","CB","443","0.10","0.04","-0.33","-0.02","0.15","0.03","-0.02"
"","Justin Dhillon","SEA","2020","ST","13","0.00","-0.00","-0.00","0.00","-0.02","-0.01","-0.03"
"","Luis Argudo","MIA","2020","CM","23","0.02","0.00","-0.02","-0.04","0.01","-0.00","-0.03"
"","Justin Meram","RSL","2020","W","1242","0.17","0.14","-0.30","-0.15","0.24","-0.14","-0.03"
"","Jay Chapman","MIA","2020","DM","254","0.02","-0.05","-0.08","0.10","0.03","-0.05","-0.03"
"","Cole Turner","PHI","2020","W","7","-0.00","-0.00","-0.00","-0.01","-0.01","-0.00","-0.03"
"","Foster Langsdorf","MIN","2020","W","17","-0.02","-0.00","0.01","-0.01","-0.00","-0.00","-0.03"
"","Renzo Zambrano","POR","2020","DM","115","0.06","0.03","-0.01","-0.08","-0.02","-0.01","-0.03"
"","Andy Najar","LAFC","2020","FB","219","0.02","0.00","-0.11","0.03","0.02","-0.00","-0.03"
"","David Loera","ORL","2020","DM","33","-0.00","0.00","-0.01","-0.02","-0.00","-0.00","-0.04"
"","Marco Delgado","TOR","2020","CM","1564","-0.04","-0.22","-0.01","0.58","-0.23","-0.12","-0.04"
"","Sam Junqua","HOU","2020","FB","302","-0.08","-0.01","0.13","-0.15","0.09","-0.02","-0.04"
"","Marcelo Palomino","HOU","2020","DM","40","0.01","0.02","0.00","-0.07","0.00","-0.00","-0.04"
"","Harry Shipp","SEA","2020","W","54","0.04","-0.00","0.04","-0.08","-0.03","-0.01","-0.04"
"","Michael Salazar","HOU","2020","W","16","-0.01","-0.00","-0.01","-0.01","-0.01","-0.00","-0.04"
"","Ethan Dobbelaere","SEA","2020","W","56","-0.00","-0.05","0.03","0.04","-0.06","0.00","-0.05"
"","Griffin Dorsey","TOR","2020","ST","12","-0.01","0.00","-0.01","0.01","-0.03","-0.01","-0.05"
"","Jack Skahan","SJE","2020","DM","15","-0.00","-0.01","-0.01","-0.01","-0.00","-0.00","-0.05"
"","Reggie Cannon","FCD","2020","FB","493","0.01","0.11","0.10","-0.29","0.00","0.01","-0.05"
"","Nick DePuy","LAG","2020","CB","1436","0.05","-0.43","0.44","-0.21","0.09","0.01","-0.06"
"","Jordan Hamilton","CLB","2020","FB","26","-0.02","-0.00","-0.01","-0.01","-0.01","-0.01","-0.06"
"","J.J. Williams","ATL","2020","ST","18","0.00","-0.00","-0.01","-0.01","-0.04","-0.01","-0.06"
"","George Campbell","ATL","2020","CB","58","0.01","0.00","-0.10","0.03","-0.01","-0.00","-0.06"
"","Gordon Wild","LAG","2020","AM","40","-0.05","-0.01","0.07","0.01","-0.06","-0.01","-0.07"
"","Josh Sims","NYRB","2020","W","58","-0.00","-0.01","0.05","-0.05","-0.04","-0.01","-0.07"
"","Danny Leyva","SEA","2020","DM","70","-0.04","0.00","-0.02","-0.01","0.00","-0.00","-0.07"
"","Jack De Vries","PHI","2020","W","35","-0.00","-0.00","-0.04","0.00","-0.03","-0.01","-0.07"
"","Clément Bayiha","MTL","2020","FB","91","-0.02","0.01","-0.00","-0.04","-0.02","-0.01","-0.07"
"","Omar González","TOR","2020","CB","2044","-0.14","0.17","0.11","-0.33","0.17","-0.05","-0.07"
