,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
48,J. Martínez,Atlanta United FC,27.0,23.0,16520000.0,2020.0,-0.35,Josef Martinez,Josef Martinez,ATL,F,1.0,1.0,69.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
49,É. Torres,Atlanta United FC,28.0,27.0,590000.0,2020.0,0.11,Erick Torres,Erick Torres,ATL,F,13.0,4.0,492.0,1.0,1.0,15.0,6.0,0.0,0/0,0.0,1.0,0.18,6.7
50,C. Mavinga,Toronto FC,29.0,25.0,1180000.0,2020.0,-0.31,Chris Mavinga,Chris Mavinga,TOR,D,19.0,17.0,1515.0,0.0,1.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
51,O. González,Toronto FC,32.0,30.0,944000.0,2020.0,-0.07,Omar Gonzalez,Omar Gonzalez,TOR,D,23.0,21.0,1871.0,0.0,0.0,11.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
52,E. Zavaleta,Toronto FC,28.0,22.0,560500.0,2020.0,-0.02,Eriq Zavaleta,Eriq Zavaleta,TOR,D,5.0,3.0,282.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
53,J. Morrow,Toronto FC,33.0,26.0,472000.0,2020.0,0.49,Justin Morrow,Justin Morrow,TOR,D,15.0,11.0,959.0,0.0,0.0,5.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
54,R. Laryea,Toronto FC,26.0,24.0,2360000.0,2020.0,0.61,Richie Laryea,Richie Laryea,TOR,M,20.0,15.0,1398.0,4.0,4.0,13.0,6.0,1.0,0/0,2.0,2.0,0.26,30.8
55,L. Fraser,Toronto FC,23.0,19.0,1180000.0,2020.0,0.03,Liam Fraser,Liam Fraser,TOR,M,13.0,4.0,436.0,0.0,0.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
56,N. Okello,Toronto FC,20.0,18.0,236000.0,2020.0,0.02,Noble Okello,Noble Okello,TOR,M,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
57,J. Osorio,Toronto FC,28.0,20.0,7080000.0,2020.0,0.63,Jonathan Osorio,Jonathan Osorio,TOR,M,17.0,17.0,1408.0,1.0,3.0,18.0,6.0,0.0,0/0,0.0,1.0,0.06,5.6
58,M. Bradley,Toronto FC,33.0,26.0,944000.0,2020.0,0.56,Michael Bradley,Michael Bradley,TOR,M,12.0,11.0,1060.0,0.0,1.0,7.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
59,A. Pozuelo,Toronto FC,29.0,27.0,14160000.0,2020.0,0.08,Alejandro Pozuelo,Alejandro Pozuelo,TOR,M,23.0,23.0,2015.0,9.0,10.0,52.0,25.0,5.0,5/5,4.0,5.0,0.4,17.3
60,J. Nelson,Toronto FC,18.0,17.0,1180000.0,2020.0,-0.54,Jayden Nelson,Jayden Nelson,TOR,F,7.0,1.0,141.0,0.0,0.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
61,J. Shaffelburg,Toronto FC,21.0,19.0,236000.0,2020.0,-0.13,Jacob Shaffelburg,Jacob Shaffelburg,TOR,M-F,4.0,1.0,125.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
62,E. Gallardo,Toronto FC,24.0,22.0,649000.0,2020.0,-0.12,Erickson Gallardo,Erickson Gallardo,TOR,F-M,5.0,2.0,162.0,0.0,0.0,4.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
63,T. Endoh,Toronto FC,27.0,25.0,649000.0,2020.0,-0.62,Tsubasa Endoh,Tsubasa Endoh,TOR,M,17.0,7.0,615.0,1.0,0.0,11.0,4.0,0.0,0/0,0.0,1.0,0.15,9.1
64,G. Dorsey,Toronto FC,22.0,19.0,236000.0,2020.0,-0.05,Griffin Dorsey,Griffin Dorsey,TOR,M,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
65,A. Akinola,Toronto FC,21.0,17.0,5900000.0,2020.0,1.46,Ayo Akinola,Ayo Akinola,TOR,F,15.0,11.0,1063.0,9.0,0.0,36.0,18.0,2.0,0/0,4.0,5.0,0.76,25.0
66,J. Altidore,Toronto FC,31.0,25.0,2360000.0,2020.0,0.48,Jozy Altidore,Jozy Altidore,TOR,F,13.0,10.0,746.0,2.0,1.0,28.0,14.0,1.0,0/0,1.0,1.0,0.24,7.1
67,P. Mullins,Toronto FC,29.0,27.0,413000.0,2020.0,-1.07,Patrick Mullins,Patrick Mullins,TOR,F,16.0,4.0,416.0,1.0,1.0,8.0,4.0,1.0,0/0,0.0,1.0,0.22,12.5
68,J. Mensah,Columbus Crew SC,30.0,26.0,1180000.0,2020.0,-0.29,Jonathan Mensah,Jonathan Mensah,CLB,D,23.0,23.0,2070.0,0.0,0.0,10.0,4.0,0.0,0/0,0.0,0.0,0.0,0.0
69,A. Keita,Columbus Crew SC,20.0,18.0,1180000.0,2020.0,-0.56,Aboubacar Keita,Aboubacar Keita,CLB,D,11.0,10.0,942.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
70,V. Wormgoor,Columbus Crew SC,32.0,31.0,826000.0,2020.0,-0.09,Vito Wormgoor,Vito Wormgoor,CLB,D,2.0,2.0,107.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
71,J. Williams,Columbus Crew SC,32.0,28.0,531000.0,2020.0,0.9,Josh Williams,Josh Williams,CLB,D,12.0,11.0,1021.0,0.0,1.0,4.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
72,M. Valenzuela,Columbus Crew SC,22.0,20.0,1180000.0,2020.0,0.25,Milton Valenzuela,Milton Valenzuela,CLB,D,19.0,17.0,1448.0,0.0,3.0,9.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
73,W. Francis,Columbus Crew SC,30.0,28.0,590000.0,2020.0,0.28,Waylon Francis,Waylon Francis,CLB,D,4.0,2.0,196.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
74,H. Afful,Columbus Crew SC,34.0,29.0,472000.0,2020.0,-0.54,Harrison Afful,Harrison Afful,CLB,D,21.0,20.0,1795.0,1.0,2.0,11.0,3.0,0.0,0/0,0.0,1.0,0.05,9.1
75,P. Kitchen,Columbus Crew SC,29.0,28.0,944000.0,2020.0,-1.64,Perry Kitchen,Perry Kitchen,CLB,M,21.0,19.0,1723.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
76,D. Nagbe,Columbus Crew SC,30.0,29.0,3540000.0,2020.0,-0.82,Darlington Nagbe,Darlington Nagbe,CLB,M,15.0,14.0,1199.0,1.0,1.0,5.0,3.0,0.0,0/0,1.0,0.0,0.08,20.0
77,A. Morris,Columbus Crew SC,19.0,18.0,708000.0,2020.0,-0.14,Aidan Morris,Aidan Morris,CLB,M,10.0,2.0,360.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
78,L. Díaz,Columbus Crew SC,22.0,20.0,944000.0,2020.0,0.81,Luis Diaz,Luis Diaz,CLB,M,21.0,14.0,1178.0,0.0,3.0,31.0,13.0,0.0,0/0,0.0,0.0,0.0,0.0
79,L. Zelarayán,Columbus Crew SC,28.0,27.0,11800000.0,2020.0,-1.96,Lucas Zelarayan,Lucas Zelarayan,CLB,M,16.0,12.0,1039.0,6.0,4.0,23.0,10.0,3.0,0/1,5.0,1.0,0.52,26.1
80,K. Molino,Columbus Crew SC,30.0,30.0,2360000.0,2020.0,1.57,Kevin Molino,Kevin Molino,CLB,M,18.0,15.0,1264.0,9.0,4.0,38.0,17.0,3.0,1/1,5.0,4.0,0.64,23.7
81,P. Santos,Columbus Crew SC,32.0,29.0,2360000.0,2020.0,-0.1,Pedro Santos,Pedro Santos,CLB,M,22.0,22.0,1841.0,6.0,8.0,44.0,16.0,4.0,1/1,4.0,2.0,0.29,13.6
82,M. Hairston,Columbus Crew SC,26.0,26.0,708000.0,2020.0,-0.13,Marlon Hairston,Marlon Hairston,CLB,M,9.0,4.0,405.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
83,G. Zardes,Columbus Crew SC,29.0,26.0,3540000.0,2020.0,0.86,Gyasi Zardes,Gyasi Zardes,CLB,F,21.0,20.0,1717.0,12.0,4.0,41.0,19.0,2.0,0/2,8.0,4.0,0.63,29.3
84,B. Dibassy,Minnesota United FC,31.0,31.0,2360000.0,2020.0,0.7,Bakaye Dibassy,Bakaye Dibassy,MIN,D,11.0,10.0,858.0,0.0,0.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
85,I. Opara,Minnesota United FC,32.0,29.0,1180000.0,2020.0,0.02,Ike Opara,Ike Opara,MIN,D,2.0,2.0,180.0,2.0,0.0,2.0,2.0,0.0,0/0,0.0,2.0,1.0,100.0
86,M. Boxall,Minnesota United FC,32.0,28.0,767000.0,2020.0,0.93,Michael Boxall,Michael Boxall,MIN,D,19.0,19.0,1710.0,0.0,0.0,8.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
87,B. Kallman,Minnesota United FC,30.0,26.0,354000.0,2020.0,-0.33,Brent Kallman,Brent Kallman,MIN,D,4.0,3.0,271.0,0.0,0.0,1.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
88,C. Gasper,Minnesota United FC,25.0,22.0,2360000.0,2020.0,-1.21,Chase Gasper,Chase Gasper,MIN,D,18.0,16.0,1491.0,1.0,1.0,17.0,6.0,1.0,0/0,1.0,0.0,0.06,5.9
89,J. Raitala,Minnesota United FC,32.0,32.0,590000.0,2020.0,0.28,Jukka Raitala,Jukka Raitala,MIN,D,15.0,15.0,1350.0,0.0,0.0,4.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
90,R. Métanire,Minnesota United FC,30.0,28.0,1180000.0,2020.0,0.86,Romain Metanire,Romain Metanire,MIN,D,20.0,20.0,1786.0,0.0,4.0,6.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
91,N. Billingsley,Minnesota United FC,23.0,22.0,118000.0,2020.0,-0.11,Noah Billingsley,Noah Billingsley,MIN,D,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
92,W. Trapp,Minnesota United FC,28.0,27.0,2360000.0,2020.0,-0.3,Wil Trapp,Wil Trapp,MIN,M,21.0,16.0,1368.0,0.0,0.0,5.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
93,J. Gregus,Minnesota United FC,30.0,27.0,3540000.0,2020.0,0.73,Jan Gregus,Jan Gregus,MIN,M,18.0,18.0,1599.0,1.0,6.0,35.0,8.0,0.0,0/0,0.0,1.0,0.06,2.9
94,H. Dotson,Minnesota United FC,23.0,21.0,2360000.0,2020.0,-1.33,Hassani Dotson,Hassani Dotson,MIN,M-D,18.0,12.0,1211.0,1.0,1.0,19.0,7.0,0.0,0/0,0.0,1.0,0.07,5.3
95,J. Hayes,Minnesota United FC,25.0,24.0,590000.0,2020.0,0.41,Jacori Hayes,Jacori Hayes,MIN,M,11.0,6.0,602.0,1.0,1.0,4.0,1.0,0.0,0/0,1.0,0.0,0.15,25.0
96,R. Lod,Minnesota United FC,27.0,26.0,3540000.0,2020.0,0.94,Robin Lod,Robin Lod,MIN,M,20.0,18.0,1585.0,7.0,5.0,40.0,13.0,0.0,0/0,4.0,3.0,0.4,17.5
97,E. Reynoso,Minnesota United FC,25.0,24.0,11800000.0,2020.0,0.6,Emanuel Reynoso,Emanuel Reynoso,MIN,M,13.0,9.0,826.0,1.0,7.0,22.0,7.0,0.0,0/0,1.0,0.0,0.11,4.5
98,T. Chacón,Minnesota United FC,20.0,18.0,1180000.0,2020.0,-0.3,Thomas Chacon,Thomas Chacon,MIN,M,4.0,1.0,172.0,0.0,0.0,1.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
99,E. Finlay,Minnesota United FC,30.0,27.0,1180000.0,2020.0,0.33,Ethan Finlay,Ethan Finlay,MIN,M,14.0,12.0,961.0,4.0,2.0,18.0,9.0,0.0,0/0,2.0,2.0,0.37,22.2
100,J. Agudelo,Minnesota United FC,28.0,28.0,1180000.0,2020.0,0.1,Juan Agudelo,Juan Agudelo,MIN,F,14.0,9.0,842.0,3.0,0.0,19.0,4.0,0.0,0/0,1.0,2.0,0.32,15.8
101,F. Langsdorf,Minnesota United FC,25.0,24.0,472000.0,2020.0,-0.03,Foster Langsdorf,Foster Langsdorf,MIN,M,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
102,X. Arreaga,Seattle Sounders FC,26.0,24.0,1180000.0,2020.0,-0.8,Xavier Arreaga,Xavier Arreaga,SEA,D,14.0,13.0,1147.0,0.0,2.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
103,N. Tolo,Seattle Sounders FC,23.0,19.0,1180000.0,2020.0,-0.21,Nouhou Tolo,Nouhou Tolo,SEA,D,22.0,16.0,1402.0,0.0,2.0,10.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
104,B. Smith,Seattle Sounders FC,26.0,26.0,944000.0,2020.0,0.08,Brad Smith,Brad Smith,SEA,D,5.0,1.0,148.0,0.0,0.0,2.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
105,J. Medranda,Seattle Sounders FC,27.0,26.0,708000.0,2020.0,0.1,Jimmy Medranda,Jimmy Medranda,SEA,D,3.0,0.0,20.0,0.0,0.0,1.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
106,K. Leerdam,Seattle Sounders FC,30.0,27.0,1180000.0,2020.0,0.95,Kelvin Leerdam,Kelvin Leerdam,SEA,D,21.0,19.0,1551.0,3.0,3.0,18.0,3.0,0.0,0/0,2.0,1.0,0.17,16.7
107,A. Roldán,Seattle Sounders FC,24.0,21.0,590000.0,2020.0,0.1,Alex Roldan,Alex Roldan,SEA,M,18.0,3.0,571.0,0.0,1.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
108,J. Delem,Seattle Sounders FC,27.0,23.0,944000.0,2020.0,-0.2,Jordy Delem,Jordy Delem,SEA,M,17.0,9.0,737.0,0.0,1.0,3.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
109,D. Leyva,Seattle Sounders FC,17.0,15.0,590000.0,2020.0,-0.07,Danny Leyva,Danny Leyva,SEA,M,2.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
110,J. Atencio,Seattle Sounders FC,19.0,18.0,295000.0,2020.0,-0.11,Josh Atencio,Josh Atencio,SEA,M,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
111,C. Roldán,Seattle Sounders FC,25.0,19.0,5900000.0,2020.0,-0.24,Cristian Roldan,Cristian Roldan,SEA,M,22.0,21.0,1890.0,2.0,5.0,27.0,10.0,0.0,0/0,0.0,2.0,0.1,7.4
112,K. Rowe,Seattle Sounders FC,29.0,29.0,708000.0,2020.0,0.19,Kelyn Rowe,Kelyn Rowe,SEA,M,16.0,10.0,896.0,0.0,0.0,17.0,4.0,0.0,0/0,0.0,0.0,0.0,0.0
113,E. Dobbelaere,Seattle Sounders FC,18.0,17.0,118000.0,2020.0,-0.05,Ethan Dobbelaere,Ethan Dobbelaere,SEA,M,1.0,1.0,54.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
114,N. Lodeiro,Seattle Sounders FC,31.0,27.0,5900000.0,2020.0,0.69,Nicolas Lodeiro,Nicolás Lodeiro,SEA,M,20.0,20.0,1782.0,7.0,10.0,40.0,18.0,2.0,4/4,4.0,3.0,0.35,17.5
115,J. Paulo,Seattle Sounders FC,29.0,29.0,2360000.0,2020.0,1.39,Joao Paulo,João Paulo,SEA,M,19.0,17.0,1501.0,2.0,5.0,16.0,6.0,0.0,0/0,2.0,0.0,0.12,12.5
116,S. Hopeau,Seattle Sounders FC,22.0,21.0,236000.0,2020.0,-0.18,Shandon Hopeau,Shandon Hopeau,SEA,F,5.0,1.0,81.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
117,R. Ruidíaz,Seattle Sounders FC,30.0,27.0,8260000.0,2020.0,-1.31,Raul Ruidiaz,Raul Ruidiaz,SEA,F,17.0,17.0,1427.0,12.0,4.0,55.0,23.0,4.0,1/1,8.0,4.0,0.76,21.8
118,F. Montero,Seattle Sounders FC,33.0,33.0,944000.0,2020.0,1.1,Fredy Montero,Fredy Montero,SEA,F,16.0,11.0,1059.0,5.0,5.0,31.0,13.0,0.0,2/2,4.0,1.0,0.42,16.1
119,W. Bruin,Seattle Sounders FC,31.0,27.0,590000.0,2020.0,-0.35,Will Bruin,Will Bruin,SEA,F,15.0,5.0,558.0,1.0,1.0,13.0,4.0,0.0,0/0,1.0,0.0,0.16,7.7
120,A. Carlos,Orlando City SC,27.0,27.0,1180000.0,2020.0,-0.29,Antonio Carlos,Antonio Carlos,ORL,D,20.0,18.0,1634.0,1.0,1.0,8.0,2.0,0.0,0/0,1.0,0.0,0.06,12.5
121,R. Jansson,Orlando City SC,29.0,27.0,885000.0,2020.0,-0.53,Robin Jansson,Robin Jansson,ORL,D,22.0,22.0,1980.0,0.0,0.0,4.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
122,R. Schlegel,Orlando City SC,23.0,23.0,590000.0,2020.0,-0.66,Rodrigo Schlegel,Rodrigo Schlegel,ORL,D,10.0,7.0,645.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
123,J. Moutinho,Orlando City SC,23.0,20.0,944000.0,2020.0,0.2,Joao Moutinho,Joao Moutinho,ORL,D,8.0,8.0,685.0,0.0,2.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
124,K. Smith,Orlando City SC,29.0,26.0,590000.0,2020.0,0.56,Kyle Smith,Kyle Smith,ORL,D,16.0,11.0,1026.0,0.0,1.0,8.0,5.0,0.0,0/0,0.0,0.0,0.0,0.0
125,A. Perea,Orlando City SC,20.0,20.0,3540000.0,2020.0,-1.1,Andres Perea,Andres Perea,ORL,M,23.0,11.0,1190.0,0.0,2.0,16.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
126,O. Rosell,Orlando City SC,28.0,25.0,708000.0,2020.0,-0.13,Oriol Rosell,Oriol Rosell,ORL,M-D,8.0,8.0,585.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
127,J. Urso,Orlando City SC,31.0,30.0,1180000.0,2020.0,-0.01,Junior Urso,Junior Urso,ORL,M,23.0,20.0,1708.0,3.0,2.0,33.0,13.0,1.0,0/0,2.0,1.0,0.16,9.1
128,J. Bender,Orlando City SC,19.0,18.0,147500.0,2020.0,-0.26,Jordan Bender,Jordan Bender,ORL,M,2.0,1.0,46.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
129,M. Pereyra,Orlando City SC,30.0,29.0,4720000.0,2020.0,-0.36,Mauricio Pereyra,Mauricio Pereyra,ORL,M,16.0,14.0,1107.0,2.0,8.0,9.0,4.0,1.0,0/0,1.0,1.0,0.16,22.2
130,A. Alvarado,Orlando City SC,21.0,21.0,2360000.0,2020.0,0.01,Alexander Alvarado,Alexander Alvarado,ORL,F,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
131,C. Mueller,Orlando City SC,24.0,21.0,3540000.0,2020.0,1.8,Chris Mueller,Chris Mueller,ORL,F,22.0,17.0,1477.0,10.0,7.0,36.0,19.0,3.0,0/0,8.0,2.0,0.61,27.8
132,B. Michel,Orlando City SC,23.0,21.0,1180000.0,2020.0,-0.43,Benji Michel,Benji Michel,ORL,F,21.0,8.0,840.0,5.0,2.0,16.0,10.0,2.0,0/0,3.0,2.0,0.54,31.3
133,T. Akindele,Orlando City SC,28.0,26.0,708000.0,2020.0,-0.71,Tesho Akindele,Tesho Akindele,ORL,F-M,17.0,8.0,821.0,3.0,0.0,12.0,6.0,0.0,0/0,2.0,1.0,0.33,25.0
134,M. Aiás,Orlando City SC,24.0,23.0,649000.0,2020.0,-0.17,Matheus Aias,Matheus Aias,ORL,F,4.0,0.0,18.0,1.0,0.0,1.0,1.0,0.0,0/0,1.0,0.0,5.0,100.0
135,D. Loera,Orlando City SC,22.0,21.0,118000.0,2020.0,-0.04,David Loera,David Loera,ORL,M,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
136,D. Zuparic,Portland Timbers,28.0,27.0,1180000.0,2020.0,0.52,Dario Zuparic,Dario Zuparic,POR,D,19.0,18.0,1611.0,0.0,0.0,4.0,4.0,0.0,0/0,0.0,0.0,0.0,0.0
137,B. Tuiloma,Portland Timbers,25.0,22.0,944000.0,2020.0,0.05,Bill Tuiloma,Bill Tuiloma,POR,D-M,12.0,9.0,824.0,1.0,1.0,12.0,3.0,0.0,0/0,0.0,1.0,0.11,8.3
138,L. Mabiala,Portland Timbers,33.0,29.0,708000.0,2020.0,-0.47,Larrys Mabiala,Larrys Mabiala,POR,D,17.0,15.0,1311.0,1.0,1.0,6.0,2.0,0.0,0/0,0.0,1.0,0.07,16.7
139,P. Bonilla,Portland Timbers,21.0,20.0,590000.0,2020.0,-0.1,Pablo Bonilla,Pablo Bonilla,POR,D,12.0,10.0,888.0,0.0,1.0,4.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
140,E. Williamson,Portland Timbers,23.0,20.0,1180000.0,2020.0,0.95,Eryk Williamson,Eryk Williamson,POR,M,21.0,17.0,1417.0,3.0,5.0,16.0,5.0,0.0,0/0,1.0,2.0,0.19,18.8
141,C. Paredes,Portland Timbers,22.0,21.0,708000.0,2020.0,-0.19,Cristhian Paredes,Cristhian Paredes,POR,M,17.0,9.0,822.0,0.0,0.0,10.0,4.0,0.0,0/0,0.0,0.0,0.0,0.0
142,D. Chará,Portland Timbers,34.0,25.0,472000.0,2020.0,1.6,Diego Chara,Diego Chara,POR,M,20.0,20.0,1799.0,1.0,6.0,3.0,1.0,0.0,0/0,1.0,0.0,0.05,33.3
143,R. Zambrano,Portland Timbers,26.0,24.0,354000.0,2020.0,-0.03,Renzo Zambrano,Renzo Zambrano,POR,M,5.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
144,D. Váleri,Portland Timbers,34.0,27.0,2360000.0,2020.0,0.82,Diego Valeri,Diego Valeri,POR,M,22.0,18.0,1628.0,8.0,7.0,39.0,16.0,3.0,3/3,5.0,3.0,0.44,20.5
145,S. Blanco,Portland Timbers,32.0,28.0,2360000.0,2020.0,0.43,Sebastian Blanco,Sebastian Blanco,POR,M-F,9.0,8.0,665.0,2.0,5.0,22.0,7.0,1.0,0/0,1.0,1.0,0.27,9.1
146,Y. Chará,Portland Timbers,29.0,28.0,4720000.0,2020.0,-0.29,Yimmi Chara,Yimmi Chara,POR,M,21.0,12.0,1233.0,4.0,8.0,23.0,12.0,2.0,0/0,2.0,2.0,0.29,17.4
147,A. Polo,Portland Timbers,26.0,24.0,2360000.0,2020.0,-1.1,Andy Polo,Andy Polo,POR,M,16.0,7.0,750.0,1.0,2.0,9.0,2.0,0.0,0/0,1.0,0.0,0.12,11.1
148,M. Loría,Portland Timbers,23.0,21.0,708000.0,2020.0,-0.82,Marvin Loria,Marvin Loria,POR,M,17.0,9.0,712.0,0.0,2.0,15.0,6.0,0.0,0/0,0.0,0.0,0.0,0.0
149,D. Asprilla,Portland Timbers,28.0,22.0,590000.0,2020.0,0.37,Dairon Asprilla,Dairon Asprilla,POR,M-F,3.0,0.0,46.0,0.0,0.0,2.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
150,T. Conechny,Portland Timbers,22.0,21.0,708000.0,2020.0,-0.37,Tomas Conechny,Tomas Conechny,POR,M,8.0,3.0,182.0,0.0,0.0,4.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
151,F. Mora,Portland Timbers,27.0,27.0,4720000.0,2020.0,0.95,Felipe Mora,Felipe Mora,POR,F,19.0,13.0,1204.0,7.0,2.0,32.0,17.0,3.0,0/0,3.0,4.0,0.52,21.9
152,J. Niezgoda,Portland Timbers,25.0,24.0,4720000.0,2020.0,-0.5,Jaroslaw Niezgoda,Jaroslaw Niezgoda,POR,F,17.0,7.0,602.0,7.0,1.0,12.0,9.0,1.0,0/0,5.0,2.0,1.05,58.3
153,J. Ebobisse,Portland Timbers,24.0,19.0,2360000.0,2020.0,0.48,Jeremy Ebobisse,Jeremy Ebobisse,POR,F,18.0,11.0,1062.0,8.0,2.0,32.0,14.0,1.0,0/0,2.0,6.0,0.68,25.0
154,A. Callens,New York City FC,28.0,24.0,1180000.0,2020.0,-0.1,Alexander Callens,Alexander Callens,NYC,D,22.0,22.0,1934.0,2.0,0.0,9.0,3.0,0.0,0/0,1.0,1.0,0.09,22.2
155,M. Chanot,New York City FC,31.0,26.0,1180000.0,2020.0,0.66,Maxime Chanot,Maxime Chanot,NYC,D,20.0,20.0,1712.0,0.0,0.0,19.0,4.0,0.0,0/0,0.0,0.0,0.0,0.0
156,S. Ibeagha,New York City FC,29.0,26.0,590000.0,2020.0,-0.2,Sebastien Ibeagha,Sebastien Ibeagha,NYC,D,7.0,2.0,282.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
157,A. Tinnerholm,New York City FC,30.0,26.0,2360000.0,2020.0,2.85,Anton Tinnerholm,Anton Tinnerholm,NYC,D,23.0,22.0,2001.0,4.0,4.0,21.0,6.0,2.0,0/0,3.0,1.0,0.18,19.0
158,K. Parks,New York City FC,23.0,22.0,3540000.0,2020.0,1.08,Keaton Parks,Keaton Parks,NYC,M,23.0,20.0,1733.0,3.0,1.0,40.0,16.0,0.0,0/0,2.0,1.0,0.16,7.5
159,J. Sands,New York City FC,20.0,16.0,2360000.0,2020.0,0.12,James Sands,James Sands,NYC,M,16.0,16.0,1409.0,0.0,1.0,5.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
160,N. Acevedo,New York City FC,21.0,20.0,2360000.0,2020.0,-0.62,Nicolas Acevedo,Nicolas Acevedo,NYC,M,12.0,1.0,128.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
161,J. Torres,New York City FC,21.0,19.0,177000.0,2020.0,0.0,Juan Pablo Torres,Juan Pablo Torres,NYC,M,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
162,G. Thórarinsson,New York City FC,28.0,27.0,944000.0,2020.0,-0.32,Gudmundur Thorarinsson,Gudmundur Thórarinsson,NYC,D,19.0,7.0,683.0,0.0,1.0,5.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
163,T. Rocha,New York City FC,27.0,25.0,531000.0,2020.0,0.29,Tony Rocha,Tony Rocha,NYC,M,11.0,0.0,51.0,1.0,0.0,3.0,1.0,0.0,0/0,1.0,0.0,1.76,33.3
164,M. Moralez,New York City FC,34.0,29.0,1180000.0,2020.0,0.65,Maximiliano Moralez,Maximiliano Moralez,NYC,M,13.0,10.0,875.0,1.0,4.0,13.0,7.0,1.0,0/0,1.0,0.0,0.1,7.7
165,J. Medina,New York City FC,23.0,20.0,3540000.0,2020.0,-0.88,Jesus Medina,Jesus Medina,NYC,M,22.0,18.0,1495.0,5.0,2.0,32.0,16.0,1.0,0/0,2.0,3.0,0.3,15.6
